Kinase activity (a) vs [MeAsp] upon step stimulation (at zero ambient [MeAsp]),,,,,,,,,,,,,,,,,
EEEE: [MeAsp] (mM),EEEE:a (dimensionless),wt: [MeAsp] (mM),wt:a (dimensionless),QEEE: [MeAsp] (mM),QEEE:a (dimensionless),QEQE: [MeAsp] (mM),QEQE:a (dimensionless),QEQQ: [MeAsp] (mM),QEQQ:a (dimensionless),QQQQ: [MeAsp] (mM),QQQQ:a (dimensionless),QEmQQ: [MeAsp] (mM),QEmQQ:a (dimensionless),QEmQEm: [MeAsp] (mM),QEmQEm:a (dimensionless),EmEmEmEm: [MeAsp] (mM),EmEmEmEm:a (dimensionless)
0.0001,0,0.0001,0.207521078,0.0001,0.148426785,0.0001,1.226279284,0.001,1.233799661,0.01,1.264260752,0.03,1.145414893,0.01,1.19681062,0.1,1.264260752
0.0001,0,0.0003,0.210295844,0.0001,0.157037281,0.0003,1.23691753,0.003,1.264260752,0.01,1.264260752,0.03,1.264260752,0.03,1.254122818,1,1.264260752
0.0003,0,0.001,0.13168895,0.0002,0.149456654,0.001,1.23691753,0.005,1.157852514,0.02,1.249724769,0.1,1.20599457,0.1,1.200607242,3,1.264260752
0.0003,0,0.003,0.039678332,0.0002,0.151110081,0.001,1.23691753,0.005,1.264260752,0.05,1.115940453,0.1,1.232170987,0.3,1.204706032,10,1.264260752
0.001,0,0.01,0.026164716,0.0005,0.140383771,0.003,1.2310937,0.01,1.228854747,0.05,1.12299024,0.3,1.204539618,1,1.012399785,,
0.001,0,10,0,0.001,0.078763693,0.003,1.23691753,0.01,1.264260752,0.07,0.953850661,0.3,1.229442991,1,1.196937393,,
0.003,0,,,0.001,0.099911142,0.01,0.665087192,0.01,1.264260752,0.1,0.11894176,0.5,0.81389224,3,0.34679844,,
0.003,0,,,0.002,0.085974898,0.01,0.911764754,0.01,1.264260752,0.1,0.216332079,0.6,0.482885058,3,0.515451998,,
0.01,0,,,0.005,0.035895931,0.03,0.017159133,0.02,0.642350261,0.2,0,1,0,10,0.2608059,,
0.01,0,,,0.01,0.001584465,0.03,0.47927455,0.02,1.016639474,0.2,0.00276393,1,0.140065199,10,0.265977179,,
0.03,0,,,0.01,0.00522227,0.1,0,0.02,1.264260752,0.5,0,2,0.032858488,30,0.2608059,,
0.1,0,,,0.02,0,0.1,0,0.03,0.590954764,0.5,0.017014226,10,0,100,0.291816477,,
3,0,,,0.1,0,0.3,0.026831654,0.03,0.600195338,1,0.015962318,30,0.008880529,,,,
,,,,,,0.3,0.038183939,0.03,1.243689783,5,0.016180065,,,,,,
,,,,,,1,0.016651302,0.05,0.042464095,,,,,,,,
,,,,,,,,0.05,0.058693727,,,,,,,,
,,,,,,,,0.06,0.071975487,,,,,,,,
,,,,,,,,0.07,0,,,,,,,,
,,,,,,,,0.1,0,,,,,,,,
,,,,,,,,0.1,0,,,,,,,,
,,,,,,,,0.1,0.026040316,,,,,,,,
,,,,,,,,0.1,0.057236851,,,,,,,,
,,,,,,,,0.2,0.029961136,,,,,,,,
,,,,,,,,0.3,0,,,,,,,,
,,,,,,,,0.3,0.045253045,,,,,,,,
,,,,,,,,0.5,0.022324597,,,,,,,,
,,,,,,,,0.5,0.036240732,,,,,,,,
